course_name,part_name,student_id,previous_attempts,studied_credits,final_result,gender,region,education,imd_band,age_band,disability,course_part,part_length,total_assessments,avg_submission_days,average_score,total_vle_used,average_days,total_clicks
AAA,2013J,11391,0,240,Pass,M,East Anglian Region,HE Qualification,90-100%,55+,N,2013J,268,5.0,112.4,82.0,55.0,102.13,934.0
AAA,2013J,28400,0,60,Pass,F,Scotland,HE Qualification,20-30%,35-55,N,2013J,268,5.0,114.2,66.4,84.0,86.99,1435.0
AAA,2013J,30268,0,60,Withdrawn,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,2013J,268,,,,22.0,2.36,281.0
AAA,2013J,31604,0,60,Pass,F,South East Region,A Level or Equivalent,50-60%,35-55,N,2013J,268,5.0,112.2,76.0,82.0,106.15,2158.0
AAA,2013J,32885,0,60,Pass,F,West Midlands Region,Lower Than A Level,50-60%,0-35,N,2013J,268,5.0,125.6,54.4,66.0,91.93,1034.0
AAA,2013J,38053,0,60,Pass,M,Wales,A Level or Equivalent,80-90%,35-55,N,2013J,268,5.0,116.2,68.0,88.0,116.84,2445.0
AAA,2013J,45462,0,60,Pass,M,Scotland,HE Qualification,30-40%,0-35,N,2013J,268,5.0,114.6,68.0,59.0,104.85,1492.0
AAA,2013J,45642,0,120,Pass,F,North Western Region,A Level or Equivalent,90-100%,0-35,N,2013J,268,5.0,116.8,72.4,66.0,106.08,1428.0
AAA,2013J,52130,0,90,Pass,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,2013J,268,5.0,115.6,71.4,76.0,120.32,1894.0
AAA,2013J,53025,0,60,Pass,M,North Region,Post Graduate Qualification,,55+,N,2013J,268,5.0,109.6,78.0,80.0,110.01,3158.0
AAA,2013J,57506,0,60,Pass,M,South Region,Lower Than A Level,70-80%,35-55,N,2013J,268,5.0,113.4,74.0,76.0,97.88,1319.0
AAA,2013J,58873,0,60,Pass,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,2013J,268,5.0,114.6,73.2,74.0,113.1,1732.0
AAA,2013J,59185,0,60,Pass,M,East Anglian Region,Lower Than A Level,60-70%,35-55,N,2013J,268,5.0,113.8,78.6,52.0,94.26,1102.0
AAA,2013J,62155,0,60,Pass,F,North Western Region,HE Qualification,50-60%,0-35,N,2013J,268,5.0,111.6,76.0,98.0,116.43,3388.0
AAA,2013J,63400,0,60,Pass,M,Scotland,Lower Than A Level,40-50%,35-55,N,2013J,268,5.0,114.2,71.6,73.0,113.19,2737.0
AAA,2013J,65002,0,60,Withdrawn,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,2013J,268,4.0,16.5,67.0,26.0,32.09,176.0
AAA,2013J,70464,0,60,Pass,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,N,2013J,268,5.0,109.6,55.6,63.0,72.56,1053.0
AAA,2013J,71361,0,60,Pass,M,Ireland,HE Qualification,,35-55,N,2013J,268,5.0,113.8,80.4,81.0,89.74,2327.0
AAA,2013J,74372,0,150,Fail,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N,2013J,268,4.0,90.5,48.5,23.0,83.9,116.0
AAA,2013J,75091,0,60,Pass,M,South West Region,A Level or Equivalent,30-40%,35-55,N,2013J,268,5.0,113.6,66.0,100.0,116.18,2992.0
AAA,2013J,77367,0,60,Pass,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,2013J,268,5.0,115.0,70.4,44.0,85.55,680.0
AAA,2013J,91265,0,60,Pass,M,North Western Region,HE Qualification,0-10%,0-35,N,2013J,268,5.0,119.4,70.8,60.0,108.29,1494.0
AAA,2013J,94961,0,60,Withdrawn,M,South Region,Lower Than A Level,70-80%,35-55,N,2013J,268,6.0,94.33,65.33,69.0,79.97,1240.0
AAA,2013J,98094,0,60,Pass,M,Wales,Lower Than A Level,70-80%,35-55,N,2013J,268,5.0,106.4,60.6,91.0,81.92,2839.0
AAA,2013J,100893,0,60,Pass,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,N,2013J,268,5.0,114.4,68.4,47.0,105.53,744.0
AAA,2013J,101781,0,60,Pass,M,South Region,Lower Than A Level,80-90%,35-55,N,2013J,268,5.0,112.4,72.6,99.0,113.24,4104.0
AAA,2013J,102806,0,60,Pass,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,2013J,268,5.0,114.2,78.0,75.0,115.7,1944.0
AAA,2013J,102952,0,60,Pass,M,London Region,HE Qualification,60-70%,0-35,N,2013J,268,5.0,113.8,76.6,69.0,111.24,1150.0
AAA,2013J,104476,0,60,Pass,M,Ireland,Post Graduate Qualification,,35-55,N,2013J,268,5.0,118.0,79.6,106.0,117.93,4777.0
AAA,2013J,106247,0,60,Withdrawn,M,South Region,HE Qualification,80-90%,35-55,N,2013J,268,3.0,70.33,60.0,43.0,54.92,465.0
AAA,2013J,106577,0,60,Pass,M,East Midlands Region,Lower Than A Level,20-30%,0-35,N,2013J,268,5.0,115.4,53.4,50.0,109.82,733.0
AAA,2013J,110175,0,60,Pass,M,East Anglian Region,HE Qualification,80-90%,35-55,N,2013J,268,5.0,113.8,63.4,68.0,99.85,998.0
AAA,2013J,111717,0,60,Pass,F,East Anglian Region,HE Qualification,90-100%,35-55,N,2013J,268,3.0,114.0,81.0,89.0,107.35,2343.0
AAA,2013J,113295,0,60,Pass,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,N,2013J,268,5.0,117.6,77.6,92.0,111.94,3553.0
AAA,2013J,114017,0,60,Pass,F,North Region,Post Graduate Qualification,,35-55,N,2013J,268,5.0,113.2,71.8,39.0,104.76,757.0
AAA,2013J,114999,0,60,Pass,M,Yorkshire Region,HE Qualification,60-70%,35-55,N,2013J,268,5.0,115.6,72.8,86.0,115.12,1358.0
AAA,2013J,116541,0,60,Pass,M,Wales,HE Qualification,0-10%,0-35,N,2013J,268,5.0,123.6,62.4,73.0,124.6,1886.0
AAA,2013J,116692,0,60,Pass,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,N,2013J,268,5.0,109.6,74.2,64.0,80.33,1108.0
AAA,2013J,118983,0,120,Pass,M,East Midlands Region,HE Qualification,30-40%,0-35,N,2013J,268,5.0,114.2,61.8,35.0,102.11,284.0
AAA,2013J,123044,0,60,Pass,M,South Region,A Level or Equivalent,40-50%,35-55,N,2013J,268,5.0,115.4,71.4,75.0,97.03,2041.0
AAA,2013J,127582,0,180,Pass,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,N,2013J,268,5.0,118.4,69.6,64.0,96.31,1321.0
AAA,2013J,129955,0,60,Withdrawn,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,N,2013J,268,6.0,32.67,81.0,87.0,56.54,1888.0
AAA,2013J,132976,0,120,Pass,F,East Anglian Region,Lower Than A Level,80-90%,35-55,N,2013J,268,5.0,113.4,67.4,47.0,132.71,520.0
AAA,2013J,134143,0,60,Distinction,F,South East Region,A Level or Equivalent,90-100%,35-55,N,2013J,268,5.0,113.4,84.4,85.0,124.98,2732.0
AAA,2013J,135335,0,180,Withdrawn,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,2013J,268,,,,12.0,11.85,73.0
AAA,2013J,135400,0,60,Withdrawn,F,South East Region,Lower Than A Level,90-100%,35-55,Y,2013J,268,7.0,96.43,53.14,53.0,66.49,610.0
AAA,2013J,137873,0,60,Pass,M,South West Region,A Level or Equivalent,40-50%,35-55,N,2013J,268,5.0,112.4,80.2,86.0,110.09,5528.0
AAA,2013J,141355,0,240,Pass,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,2013J,268,5.0,115.6,72.6,74.0,112.16,1823.0
AAA,2013J,141377,0,345,Withdrawn,M,South West Region,A Level or Equivalent,90-100%,0-35,N,2013J,268,6.0,106.83,48.83,76.0,110.44,756.0
AAA,2013J,142326,0,60,Pass,F,North Region,A Level or Equivalent,50-60%,35-55,N,2013J,268,5.0,115.2,73.6,84.0,131.04,2121.0
AAA,2013J,144801,0,60,Pass,F,South Region,HE Qualification,80-90%,35-55,N,2013J,268,5.0,114.8,68.8,122.0,127.15,5645.0
AAA,2013J,145130,0,120,Pass,M,South West Region,HE Qualification,60-70%,0-35,N,2013J,268,5.0,118.4,54.4,48.0,97.22,452.0
AAA,2013J,146188,0,60,Fail,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,Y,2013J,268,5.0,119.0,50.0,53.0,92.86,597.0
AAA,2013J,147756,0,120,Fail,M,North Region,Lower Than A Level,60-70%,0-35,N,2013J,268,9.0,109.78,68.67,107.0,109.35,1718.0
AAA,2013J,147793,0,90,Withdrawn,F,North Region,Lower Than A Level,80-90%,0-35,N,2013J,268,1.0,32.0,52.0,17.0,29.9,155.0
AAA,2013J,148993,0,60,Withdrawn,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,2013J,268,8.0,99.38,79.5,124.0,100.19,3812.0
AAA,2013J,151358,0,150,Pass,F,London Region,A Level or Equivalent,80-90%,0-35,N,2013J,268,5.0,110.6,50.0,31.0,134.45,270.0
AAA,2013J,155550,0,420,Pass,M,London Region,A Level or Equivalent,0-10%,35-55,N,2013J,268,5.0,115.0,67.0,59.0,121.88,1529.0
AAA,2013J,155854,0,60,Pass,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,2013J,268,5.0,113.2,79.8,96.0,124.7,4003.0
AAA,2013J,155984,0,60,Withdrawn,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,2013J,268,7.0,99.14,78.14,118.0,108.0,2645.0
AAA,2013J,157568,0,60,Pass,F,South West Region,A Level or Equivalent,90-100%,0-35,N,2013J,268,5.0,123.6,70.6,62.0,115.53,1405.0
AAA,2013J,159954,0,60,Withdrawn,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,N,2013J,268,5.0,41.4,68.2,102.0,71.37,2062.0
AAA,2013J,164259,0,60,Pass,M,Scotland,A Level or Equivalent,70-80%,0-35,N,2013J,268,5.0,113.8,71.8,41.0,141.29,466.0
AAA,2013J,167906,0,60,Pass,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,N,2013J,268,5.0,117.0,69.4,75.0,113.7,1510.0
AAA,2013J,168936,0,60,Pass,F,West Midlands Region,Lower Than A Level,10-20,35-55,N,2013J,268,5.0,114.2,66.4,47.0,117.12,745.0
AAA,2013J,172112,0,60,Pass,M,Ireland,HE Qualification,,35-55,N,2013J,268,5.0,121.2,69.6,84.0,138.14,1939.0
AAA,2013J,172797,0,60,Pass,F,Ireland,A Level or Equivalent,,35-55,N,2013J,268,5.0,115.0,61.4,85.0,140.76,1782.0
AAA,2013J,174782,0,60,Pass,M,East Anglian Region,HE Qualification,90-100%,55+,N,2013J,268,5.0,112.2,80.4,93.0,116.35,6318.0
AAA,2013J,175392,0,60,Pass,M,North Region,HE Qualification,,35-55,N,2013J,268,5.0,112.4,82.4,117.0,101.12,4447.0
AAA,2013J,175932,0,60,Pass,M,North Western Region,HE Qualification,70-80%,35-55,N,2013J,268,5.0,114.6,78.2,60.0,84.24,2016.0
AAA,2013J,175991,0,180,Fail,F,North Western Region,A Level or Equivalent,80-90%,0-35,N,2013J,268,5.0,130.4,37.6,17.0,95.6,138.0
